y_true,y_pred
0.081324875,0.05931527
0.08718567,0.051169284
0.10858104,0.030099638
-0.0052520013,0.061006956
0.036342878,-0.0024678037
0.050632797,0.06240011
-0.024426125,0.051243886
-0.0012283238,-0.009550288
-0.0062303846,0.02081386
0.029972658,3.8020313e-05
0.0035319147,0.014875546
0.0070774434,0.012848824
0.055003006,0.04173582
0.15232612,0.04016214
0.18468043,0.16058242
0.13670146,0.16761097
0.14449444,0.13542745
0.08319889,0.1394024
0.10035199,0.09882044
0.045510367,0.07616265
-0.0157739,0.049073152
-0.026427286,0.0069504976
-0.053298317,-0.024829075
0.0031379887,-0.039757684
-0.00081053027,-0.039665475
0.021117244,-0.055270888
0.0049004364,-0.026406325
-0.026920889,-0.03239476
-0.11403372,-0.06146387
-0.1266311,-0.09707297
-0.09360133,-0.111208774
-0.08694744,-0.094807185
-0.04226067,-0.06208255
-0.019281557,-0.0009845048
-0.00079682725,0.028424919
0.14001237,0.06569256
0.16482426,0.16073567
0.21809858,0.17312127
0.24181326,0.22105917
0.21239145,0.24638575
0.26280245,0.23813865
0.23661219,0.2830143
0.26361027,0.27301818
0.23758067,0.26709718
0.32016683,0.24741873
0.34454128,0.31636152
0.35574323,0.30821243
0.32123148,0.33262837
0.35030374,0.31547397
0.37806767,0.3408378
0.29072753,0.34968424
0.36844152,0.29567268
0.3326812,0.3289882
0.32065037,0.3357181
0.37183225,0.33557618
0.27824706,0.34390318
0.2992257,0.3139896
0.26774314,0.29992065
0.24565545,0.2647982
0.10132373,0.21590519
-0.027149202,0.079820864
0.037020437,-0.036599316
0.044213053,0.010457061
-0.029953437,-0.008032113
-0.010953803,-0.06804667
0.009111837,-0.039114736
-0.087251976,-0.012511596
-0.084253356,-0.110378094
-0.104739755,-0.10115627
-0.2157692,-0.098512925
-0.18396674,-0.1995281
-0.18492284,-0.15684468
-0.15701525,-0.14043951
-0.010747003,-0.12800023
-0.0036512944,0.022963919
0.11536384,0.030417629
-0.0023210384,0.082841225
-0.07424886,0.031193174
-0.072160974,-0.038030528
-0.15187258,-0.10583619
-0.18394847,-0.12478378
-0.13241312,-0.17751345
-0.15194482,-0.1418238
-0.09053213,-0.13596547
-0.01764605,-0.083928235
-0.05322296,-0.0524581
-0.05351764,-0.06747986
