model_type,target_col,rmse_norm_baseline,mae_norm_baseline,r2_baseline,rmse_norm_regime,mae_norm_regime,r2_regime,rmse_gain_%,mae_gain_%
gru,ETH_r15d,0.3297499616235596,0.25209939529230346,0.8912649628092609,0.32171711250836804,0.2414820869810586,0.8964980995192781,2.4360424715869353,4.2115564374656
lstm,ETH_r15d,0.3328246424738493,0.2543420198246708,0.8892277573621544,0.34025792870754995,0.2531194801293501,0.8842245419516479,-2.2333941917430895,0.4806676050475116
gru,BTC_r15d,0.3373728482369096,0.2596706648704553,0.8861795612725152,0.35102086462698207,0.26973700461983874,0.876784352596526,-4.04538078905762,-3.876579495186846
gru,DXY_r15d,0.3396689196886201,0.26120972022995603,0.8846250249975658,0.373580764453946,0.28385347409868295,0.8604374124300053,-9.983793865041703,-8.668802159732984
transformer,ETH_r15d,0.34564809363165183,0.27020530947503374,0.8805273953688049,0.37688452293094016,0.29249511289224367,0.8579580563751177,-9.037061067253036,-8.249210002762528
lstm,BTC_r15d,0.3542706767533463,0.27468187042078074,0.874492287592726,0.3705316216700716,0.2913163375126925,0.8627063173425469,-4.589977659383494,-6.055902803643236
lstm,DXY_r15d,0.37199825886795646,0.2844190475545024,0.8616172953992088,0.40679067712016065,0.30970144010359085,0.8345213450081213,-9.352844381068467,-8.889134805306467
gru,ETH_r10d,0.3893051417025809,0.2808238034854164,0.8484415066439334,0.39046107094855736,0.2872751278525659,0.8475401520737056,-0.2969211351592067,-2.2972854462761165
gru,GOLD_r15d,0.393353686222554,0.2967952334090406,0.8452728775351285,0.662286390650755,0.5603484933505192,0.5613767367587955,-68.3691837264346,-88.79969429234455
gru,SPX_r15d,0.3962153761715679,0.27455429927136205,0.8430133756852229,0.46533571012763236,0.3286968638289802,0.7834626768800121,-17.44514173678465,-19.720166357367848
transformer,DXY_r15d,0.39672276370203535,0.3027062762579818,0.842611048760619,0.5273495513070744,0.38761148410925783,0.7219024507362274,-32.92646642861872,-28.04871075052156
lstm,SPX_r15d,0.39903419504837,0.2785498574363664,0.8407717111820994,0.41262486511275664,0.2788693309185297,0.8297407206906794,-3.405891082276596,-0.11469166960040762
lstm,ETH_r10d,0.40266005232194824,0.30521031908188195,0.837864882264086,0.3953976848378315,0.2935506095018229,0.8436606708248828,1.8035977103360845,3.8202212871220134
lstm,GOLD_r15d,0.41722007150570467,0.32157707981565503,0.8259274119327746,0.41624368699853537,0.3167135519404016,0.8267411930338653,0.23402146105905963,1.5123987934841112
lstm,DXY_r10d,0.421478630268776,0.330192070483858,0.8223557642267564,0.5403147658363407,0.43229751134723143,0.7080599538192203,-28.195055937185515,-30.92304449157419
gru,BTC_r10d,0.4362600257983504,0.3341012193551995,0.8096771898904227,0.43876266530374264,0.3430065078690554,0.8074873235355559,-0.5736577631224539,-2.6654462773415566
transformer,BTC_r15d,0.44072370277665046,0.3496657943758369,0.8057626178108387,0.44450829943319153,0.34907590010754963,0.8024123717350121,-0.8587231938507802,0.16870230882612883
gru,DXY_r10d,0.44600858202953964,0.3566029372474389,0.8010763447559994,0.44538912293337435,0.35203546868636704,0.8016285291726395,0.13888950148592866,1.2808275210314963
lstm,SPX_r10d,0.45345027936844096,0.3024145931428294,0.7943828441406828,0.4863227901243477,0.34648741243952397,0.7634901438056696,-7.249419010545347,-14.573641714399377
