model_type,target_col,rmse_norm_baseline,mae_norm_baseline,r2_baseline,rmse_norm_regime,mae_norm_regime,r2_regime,rmse_gain_%,mae_gain_%,ativo,horizonte,regime_scope
gru,ETH_r15d,0.3297499616235596,0.2520993952923034,0.8912649628092609,0.321717112508368,0.2414820869810586,0.8964980995192781,2.4360424715869353,4.2115564374656,ETH,r15d,baseline
lstm,ETH_r15d,0.3328246424738493,0.2543420198246708,0.8892277573621544,0.3402579287075499,0.2531194801293501,0.8842245419516479,-2.2333941917430895,0.4806676050475116,ETH,r15d,baseline
gru,BTC_r15d,0.3373728482369096,0.2596706648704553,0.8861795612725152,0.351020864626982,0.2697370046198387,0.876784352596526,-4.04538078905762,-3.876579495186846,BTC,r15d,baseline
gru,DXY_r15d,0.3396689196886201,0.261209720229956,0.8846250249975658,0.373580764453946,0.2838534740986829,0.8604374124300053,-9.983793865041704,-8.668802159732984,DXY,r15d,baseline
transformer,ETH_r15d,0.3456480936316518,0.2702053094750337,0.8805273953688049,0.3768845229309401,0.2924951128922436,0.8579580563751177,-9.037061067253036,-8.249210002762528,ETH,r15d,baseline
lstm,BTC_r15d,0.3542706767533463,0.2746818704207807,0.874492287592726,0.3705316216700716,0.2913163375126925,0.8627063173425469,-4.589977659383494,-6.055902803643236,BTC,r15d,baseline
lstm,DXY_r15d,0.3719982588679564,0.2844190475545024,0.8616172953992088,0.4067906771201606,0.3097014401035908,0.8345213450081213,-9.352844381068468,-8.889134805306467,DXY,r15d,baseline
gru,ETH_r10d,0.3893051417025809,0.2808238034854164,0.8484415066439334,0.3904610709485573,0.2872751278525659,0.8475401520737056,-0.2969211351592067,-2.2972854462761165,ETH,r10d,baseline
gru,GOLD_r15d,0.393353686222554,0.2967952334090406,0.8452728775351285,0.662286390650755,0.5603484933505192,0.5613767367587955,-68.3691837264346,-88.79969429234455,GOLD,r15d,baseline
gru,SPX_r15d,0.3962153761715679,0.274554299271362,0.8430133756852229,0.4653357101276323,0.3286968638289802,0.7834626768800121,-17.44514173678465,-19.720166357367848,SPX,r15d,baseline
transformer,DXY_r15d,0.3967227637020353,0.3027062762579818,0.842611048760619,0.5273495513070744,0.3876114841092578,0.7219024507362274,-32.92646642861872,-28.04871075052156,DXY,r15d,baseline
