model_name,model_type,regime_type,target_col,mse,mae,rmse,rmse_norm,mae_norm,r2,n_obs,model_full_name
gru_regime_ETH_r15d,gru,regime,ETH_r15d,0.003088752154816403,0.04171596448858465,0.05557654320679187,0.32171711250836804,0.2414820869810586,0.8964980995192781,378,gru_regime
gru_baseline_ETH_r15d,gru,baseline,ETH_r15d,0.0032449218697147755,0.04355010159586825,0.056964215694721675,0.3297499616235596,0.25209939529230346,0.8912649628092609,378,gru_baseline
lstm_baseline_ETH_r15d,lstm,baseline,ETH_r15d,0.00330571710811454,0.0439375143705508,0.057495365970785334,0.3328246424738493,0.2543420198246708,0.8892277573621544,378,lstm_baseline
gru_baseline_BTC_r15d,gru,baseline,BTC_r15d,0.0015996868560842997,0.0307843686021164,0.0399960855095133,0.3373728482369096,0.2596706648704553,0.8861795612725152,378,gru_baseline
gru_baseline_DXY_r15d,gru,baseline,DXY_r15d,3.213742739997626e-05,0.004359524054785714,0.005668988216602347,0.3396689196886201,0.26120972022995603,0.8846250249975658,378,gru_baseline
lstm_regime_ETH_r15d,lstm,regime,ETH_r15d,0.0034550254039857936,0.04372632097250847,0.058779464134898284,0.34025792870754995,0.2531194801293501,0.8842245419516479,378,lstm_regime
transformer_baseline_ETH_r15d,transformer,baseline,ETH_r15d,0.003565357382639224,0.04667789331956402,0.0597106136515044,0.34564809363165183,0.27020530947503374,0.8805273953688049,378,transformer_baseline
gru_regime_BTC_r15d,gru,regime,BTC_r15d,0.0017317316100597551,0.031977749123068784,0.04161407946909021,0.35102086462698207,0.26973700461983874,0.876784352596526,378,gru_regime
lstm_baseline_BTC_r15d,lstm,baseline,BTC_r15d,0.0017639453873115572,0.03256397079574074,0.04199934984391493,0.3542706767533463,0.27468187042078074,0.874492287592726,378,lstm_baseline
lstm_regime_BTC_r15d,lstm,regime,BTC_r15d,0.001929591047319537,0.03453601321613757,0.04392711061883694,0.3705316216700716,0.2913163375126925,0.8627063173425469,378,lstm_regime
lstm_baseline_DXY_r15d,lstm,baseline,DXY_r15d,3.8546176260722516e-05,0.00474688184789418,0.006208556697069176,0.37199825886795646,0.2844190475545024,0.8616172953992088,378,lstm_baseline
gru_regime_DXY_r15d,gru,regime,DXY_r15d,3.88748298813404e-05,0.004737442570201058,0.006234968314381429,0.373580764453946,0.28385347409868295,0.8604374124300053,378,gru_regime
transformer_regime_ETH_r15d,transformer,regime,ETH_r15d,0.0042388821597279065,0.05052845076436032,0.06510669827082238,0.37688452293094016,0.29249511289224367,0.8579580563751177,378,transformer_regime
gru_baseline_ETH_r10d,gru,baseline,ETH_r10d,0.00286978086983865,0.03864276070663862,0.05357033572639479,0.3893051417025809,0.2808238034854164,0.8484415066439334,378,gru_baseline
gru_regime_ETH_r10d,gru,regime,ETH_r10d,0.002886848142317429,0.03953049522439153,0.0537293973753422,0.39046107094855736,0.2872751278525659,0.8475401520737056,378,gru_regime
gru_baseline_GOLD_r15d,gru,baseline,GOLD_r15d,0.00017278716238162652,0.009918121714312169,0.013144853075695693,0.393353686222554,0.2967952334090406,0.8452728775351285,378,gru_baseline
lstm_regime_ETH_r10d,lstm,regime,ETH_r10d,0.0029603066521392,0.040394032904179894,0.05440870015116332,0.3953976848378315,0.2935506095018229,0.8436606708248828,378,lstm_regime
gru_baseline_SPX_r15d,gru,baseline,SPX_r15d,0.0001981974636902346,0.009755419949947091,0.014078262097653765,0.3962153761715679,0.27455429927136205,0.8430133756852229,378,gru_baseline
transformer_baseline_DXY_r15d,transformer,baseline,DXY_r15d,4.3840321472722236e-05,0.0050520910620000005,0.006621202418950974,0.39672276370203535,0.3027062762579818,0.842611048760619,378,transformer_baseline
lstm_baseline_SPX_r15d,lstm,baseline,SPX_r15d,0.0002010275915492339,0.009897389490899472,0.014178419924280488,0.39903419504837,0.2785498574363664,0.8407717111820994,378,lstm_baseline
lstm_baseline_ETH_r10d,lstm,baseline,ETH_r10d,0.003070050703885139,0.04199846729193122,0.05540803826057316,0.40266005232194824,0.30521031908188195,0.837864882264086,378,lstm_baseline
lstm_regime_DXY_r15d,lstm,regime,DXY_r15d,4.60936893891853e-05,0.005168838574402116,0.006789233343256461,0.40679067712016065,0.30970144010359085,0.8345213450081213,378,lstm_regime
baseline,unknown,unknown,unknown,4.60936893891853e-05,0.005168838574402116,0.006789233343256461,0.40679067712016065,0.30970144010359085,0.8345213450081213,378,unknown_unknown
lstm_regime_SPX_r15d,lstm,regime,SPX_r15d,0.0002149543470733652,0.009908740972153439,0.014661321464089286,0.41262486511275664,0.2788693309185297,0.8297407206906794,378,lstm_regime
lstm_regime_GOLD_r15d,lstm,regime,GOLD_r15d,0.00019348189985308575,0.010583739909285716,0.013909777131682798,0.41624368699853537,0.3167135519404016,0.8267411930338653,378,lstm_regime
lstm_baseline_GOLD_r15d,lstm,baseline,GOLD_r15d,0.00019439066701049972,0.01074626631132275,0.01394240535239525,0.41722007150570467,0.32157707981565503,0.8259274119327746,378,lstm_baseline
lstm_baseline_DXY_r10d,lstm,baseline,DXY_r10d,3.2324809813963355e-05,0.0044540908255925925,0.00568549116734547,0.421478630268776,0.330192070483858,0.8223557642267564,378,lstm_baseline
transformer_regime_ETH_r10d,transformer,regime,ETH_r10d,0.003559757823792318,0.04507210651283069,0.05966370608495854,0.4335867460405235,0.32754700105726303,0.8120025336579906,378,transformer_regime
